#Name	ID	GM	Radius(km)	inertia	k2	k2r	td	J2	C21	C22	S21	S22	TidalDelayFactor	Geopotential	Ring	x	y	z	vx	vy	vz	alpha	delta	w	period(h)	xx	xy	xz	zx	zy	zz	wx	wy	wz
Pasiphae	508	7.38E6	30	0.36	0	0	0	0.0966	0	0.029	0	0	1	0	0	5.988524278469087E11	4.171916241904466E11	-2.806469907808299E9	-9.72280446970349E3	1.21949359461982E4	5.642995068807975E2	268.06 	64.50 	0.00 	10.00 									
Sinope	509	1.87E6	19	0.36	0	0	0	0.0559	0	0.017	0	0	1	0	0	5.735018741759676E11	4.565020863400333E11	-1.084029223627143E10	-7.232034800251488E3	1.254615516935721E4	-6.044475599541228E2	268.06 	64.50 	0.00 	13.16 									
Lysithea	510	1.59E6	18	0.36	0	0	0	0.0593	0	0.018	0	0	1	0	0	6.07541957830349E11	4.419883848810545E11	-1.458641527927952E10	-9.15330593870452E3	1.415716896610464E4	1.809432847461222E3	268.06 	64.50 	0.00 	12.78 									
Carme	511	3.32E6	23	0.36	0	0	0	0.0895	0	0.027	0	0	1	0	0	5.828777978375884E11	4.179173042390302E11	-2.130164364303841E10	-9.26391983730108E3	1.270435614511922E4	-2.186862641579203E1	268.06 	64.50 	0.00 	10.40 									
Ananke	512	7.50E5	14	0.36	0	0	0	0.1402	0	0.042	0	0	1	0	0	6.088042062076545E11	4.588416627214409E11	-2.405404527321509E10	-6.511255227363137E3	9.78509662905438E3	1.020038772515299E3	268.06 	64.50 	0.00 	8.30 									
Leda	513	2.73E5	10	0.36	0	0	0	0.0967	0	0.029	0	0	1	0	0	6.090160048043637E11	4.372471996335887E11	-1.077622853557525E10	-7.445941139967346E3	1.391497225184162E4	-8.84859810843929E2	268.06 	64.50 	0.00 	10.00 									
Thebe	514	3.014800000000000E7	49.3	0.36	0	0	0	8.13835378442499E-2	-1.790402736858854E-7	1.714387018650622E-2	-3.863123551525728E-6	3.154100413666118E-4	1	0	0	5.972760158135477E11	4.391581113635916E11	-1.520229968905762E10	-4.909403128365823E3	-1.214296169507642E4	-1.045048126195973E3	267.20127594 	63.66925634 	9.32540443 	16.18775596 	9.92558475703317E-1	1.185958408179348E-1	2.76170029184098E-2	-2.147294674140407E-2	-5.277574398985275E-2	9.98375497197602E-1	-2.381695900060365E-6	-5.921261483220526E-6	1.110928554583293E-4
Adrastea	515	1.390000000000000E5	8.2	0.36	0	0	0	8.38740375260393E-2	7.853027102049882E-10	2.283321094935001E-2	1.758552472489551E-10	-2.04787803742825E-7	1	0	0	5.973914621886498E11	4.391168528262573E11	-1.520006876432687E10	9.09615347736967E3	-1.532812690603186E4	-5.661666133846046E2	268.05000000 	64.49000000 	33.29000000 	7.15825152 	8.41833397321338E-1	5.38814895427801E-1	3.154424859689169E-2	-1.46043176718448E-2	-3.568273951277535E-2	9.99256451570968E-1	-3.552776261216603E-6	-8.67955126152221E-6	2.430708109434709E-4
Metis	516	2.501000000000000E6	21.5	0.36	0	0	0	1.22678626237623E-1	-2.424914145183418E-10	4.267332972689742E-2	-1.279341090948267E-10	5.540142573182113E-7	1	0	0	5.97376667939842E11	4.392212729665163E11	-1.519656551901987E10	-1.646993705578204E4	-1.919154237509087E4	-1.081696281304421E3	268.05000000 	64.49000000 	346.09000000 	7.07469112 	9.61489634073059E-1	-2.748073455338999E-1	4.313514885504071E-3	-1.470982821280481E-2	-3.578165525868701E-2	9.99251366824634E-1	-3.582506155474885E-6	-8.71466392019366E-6	2.433671471781307E-4
Mimas	601	2.503379292467743E9	198.2	0.33	0.02	0.02	0	3.903432632440706E-2	0	9.13004274430918E-3	0	1.262671267949696E-3	7.629901349142957E-1	0	0	9.57458640136169E11	9.82330364928153E11	-5.513771968132107E10	1.932508784797845E3	1.636544204083031E4	-5.347308972815811E3	41.27512212 	85.04842497 	363.74958831 	22.63250687 	-6.991787631932703E-1	6.568259880936424E-1	-2.823626718678288E-1	6.25742792270106E-2	4.496460563833161E-1	8.91012280251037E-1	4.780825606839303E-6	3.44069345873638E-5	6.820425886501611E-5
